,n_missing,pct_missing
LBXSCA,3508.0,10.1
LBXSUA,3485.0,10.0
LBXSPH,3481.0,10.0
LBXSC3SI,3479.0,10.0
LBXSBU,3480.0,10.0
LBXSCR,3476.0,10.0
LBXSNASI,3476.0,10.0
LBXSKSI,3482.0,10.0
LBXSCLSI,3476.0,10.0
LBXSGL,3475.0,10.0
LBXSCH,3482.0,10.0
URXUMA,2166.0,6.2
URXUCR,2166.0,6.2
BMXBMI,1822.0,5.3
BMXWAIST,3372.0,9.7
systolic_bp,4122.0,11.9
diastolic_bp,4122.0,11.9
egfr,3476.0,10.0
acr,2166.0,6.2
SLD012,23494.0,67.7
smoking_status,25.0,0.1
diabetes_status,21.0,0.1
physically_active,10.0,0.0
obesity_category,1822.0,5.3
RIDAGEYR,0.0,0.0
INDFMPIR,3546.0,10.2
DMDEDUC2,0.0,0.0
MCQ160B,87.0,0.3
MCQ160C,130.0,0.4
MCQ160E,50.0,0.1
MCQ160F,43.0,0.1
MCQ220,24.0,0.1
DIQ010,830.0,2.4
BPQ020,44.0,0.1
BPQ080,3781.0,10.9
